Date,DowJones,NASDAQ,SP500
2023-09-26,33618.87890625,13063.6103515625,4273.52978515625
2023-09-27,33550.26953125,13092.849609375,4274.509765625
2023-09-28,33666.33984375,13201.2802734375,4299.7001953125
2023-09-29,33507.5,13219.3203125,4288.0498046875
2023-10-02,33433.3515625,13307.76953125,4288.39013671875
2023-10-03,33002.37890625,13059.4697265625,4229.4501953125
2023-10-04,33129.55078125,13236.009765625,4263.75
2023-10-05,33119.5703125,13219.830078125,4258.18994140625
2023-10-06,33407.578125,13431.33984375,4308.5
2023-10-09,33604.6484375,13484.240234375,4335.66015625
2023-10-10,33739.30078125,13562.83984375,4358.240234375
2023-10-11,33804.87109375,13659.6796875,4376.9501953125
2023-10-12,33631.140625,13574.2197265625,4349.60986328125
2023-10-13,33670.2890625,13407.23046875,4327.77978515625
2023-10-16,33984.5390625,13567.98046875,4373.6298828125
2023-10-17,33997.6484375,13533.75,4373.2001953125
2023-10-18,33665.078125,13314.2998046875,4314.60009765625
2023-10-19,33414.171875,13186.1796875,4278.0
2023-10-20,33127.28125,12983.8095703125,4224.16015625
2023-10-23,32936.41015625,13018.330078125,4217.0400390625
2023-10-24,33141.37890625,13139.8701171875,4247.68017578125
2023-10-25,33035.9296875,12821.2197265625,4186.77001953125
2023-10-26,32784.30078125,12595.6103515625,4137.22998046875
2023-10-27,32417.58984375,12643.009765625,4117.3701171875
2023-10-30,32928.9609375,12789.48046875,4166.81982421875
2023-10-31,33052.87109375,12851.240234375,4193.7998046875
2023-11-01,33274.578125,13061.4697265625,4237.85986328125
2023-11-02,33839.078125,13294.1904296875,4317.77978515625
2023-11-03,34061.3203125,13478.2802734375,4358.33984375
2023-11-06,34095.859375,13518.7802734375,4365.97998046875
2023-11-07,34152.6015625,13639.8603515625,4378.3798828125
2023-11-08,34112.26953125,13650.41015625,4382.77978515625
2023-11-09,33891.94140625,13521.4501953125,4347.35009765625
2023-11-10,34283.1015625,13798.1103515625,4415.240234375
2023-11-13,34337.87109375,13767.740234375,4411.5498046875
2023-11-14,34827.69921875,14094.3798828125,4495.7001953125
2023-11-15,34991.2109375,14103.83984375,4502.8798828125
2023-11-16,34945.46875,14113.669921875,4508.240234375
2023-11-17,34947.28125,14125.48046875,4514.02001953125
